t,x,y
8.78388,189.89172,10.26733
8.78188,190.37796,10.27334
8.77988,190.86426,10.27930
8.77788,191.34991,10.28522
8.77588,191.83600,10.29111
8.77388,192.32169,10.29696
8.77188,192.80760,10.30279
8.76988,193.29308,10.30857
8.76788,193.77832,10.31432
8.76588,194.26352,10.32002
8.76388,194.74918,10.32570
8.76188,195.23422,10.33135
8.75988,195.71906,10.33695
8.75788,196.20377,10.34251
8.75588,196.68845,10.34804
8.75388,197.17297,10.35354
8.75187,197.65756,10.35900
8.74988,198.14183,10.36443
8.74788,198.62589,10.36981
8.74587,199.11041,10.37519
8.74387,199.59428,10.38051
8.74187,200.07782,10.38578
8.73987,200.56149,10.39104
8.73787,201.04498,10.39623
8.73587,201.52817,10.40140
8.73387,202.01147,10.40655
8.73187,202.49438,10.41164
8.72987,202.97760,10.41673
8.72787,203.46033,10.42176
8.72587,203.94283,10.42675
8.72387,204.42538,10.43170
8.72187,204.90753,10.43664
8.71987,205.38974,10.44152
8.71787,205.87170,10.44637
8.71587,206.35345,10.45118
8.71387,206.83542,10.45598
8.71187,207.31683,10.46072
8.70987,207.79805,10.46542
8.70787,208.27951,10.47010
8.70587,208.76010,10.47472
8.70387,209.24075,10.47931
8.70187,209.72176,10.48389
8.69987,210.20200,10.48840
8.69787,210.68234,10.49290
8.69587,211.16273,10.49736
8.69387,211.64262,10.50178
8.69187,212.12204,10.50615
8.68987,212.60211,10.51050
8.68787,213.08145,10.51481
8.68587,213.56055,10.51908
8.68387,214.03952,10.52331
8.68187,214.51825,10.52751
8.67987,214.99719,10.53168
8.67787,215.47552,10.53580
8.67587,215.95369,10.53988
8.67387,216.43192,10.54396
8.67187,216.90976,10.54796
8.66987,217.38754,10.55195
8.66787,217.86493,10.55589
8.66587,218.34212,10.55980
8.66387,218.81947,10.56368
8.66187,219.29620,10.56751
8.65987,219.77289,10.57132
8.65787,220.24945,10.57507
8.65587,220.72565,10.57880
8.65387,221.20178,10.58250
8.65187,221.67757,10.58615
8.64987,222.15292,10.58975
8.64787,222.62836,10.59334
8.64586,223.10370,10.59689
8.64386,223.57860,10.60039
8.64186,224.05322,10.60385
8.63986,224.52759,10.60728
8.63786,225.00183,10.61068
8.63586,225.47623,10.61405
8.63386,225.95007,10.61738
8.63186,226.42377,10.62066
8.62986,226.89714,10.62392
8.62786,227.37030,10.62714
8.62586,227.84352,10.63031
8.62386,228.31595,10.63345
8.62186,228.78809,10.63655
8.61986,229.26047,10.63962
8.61786,229.73235,10.64265
8.61586,230.20406,10.64565
8.61386,230.67563,10.64860
8.61186,231.14693,10.65152
8.60986,231.61755,10.65440
8.60786,232.08855,10.65725
8.60586,232.55890,10.66005
8.60386,233.02914,10.66284
8.60186,233.49939,10.66558
8.59986,233.96864,10.66825
8.59786,234.43842,10.67093
8.59586,234.90761,10.67356
8.59386,235.37648,10.67615
8.59186,235.84515,10.67869
8.58986,236.31357,10.68121
8.58786,236.78156,10.68369
8.58586,237.24973,10.68614
8.58386,237.71716,10.68853
8.58186,238.18469,10.69090
8.57986,238.65149,10.69323
8.57786,239.11830,10.69552
8.57586,239.58504,10.69778
8.57386,240.05119,10.70000
8.57186,240.51715,10.70219
8.56986,240.98282,10.70433
8.56786,241.44817,10.70643
8.56586,241.91336,10.70852
8.56386,242.37830,10.71054
8.56186,242.84286,10.71255
8.55986,243.30710,10.71451
8.55786,243.77115,10.71644
8.55586,244.23474,10.71832
8.55386,244.69812,10.72018
8.55186,245.16138,10.72199
8.54986,245.62399,10.72376
8.54785,246.08667,10.72550
8.54585,246.54877,10.72720
8.54385,247.01062,10.72887
8.54185,247.47235,10.73050
8.53985,247.93359,10.73209
8.53785,248.39456,10.73364
8.53585,248.85538,10.73516
8.53385,249.31564,10.73664
8.53185,249.77586,10.73808
8.52985,250.23558,10.73948
8.52785,250.69501,10.74086
8.52585,251.15414,10.74218
8.52385,251.61299,10.74348
8.52185,252.07141,10.74474
8.51985,252.52972,10.74595
8.51785,252.98758,10.74714
8.51585,253.44484,10.74828
8.51385,253.90236,10.74940
8.51185,254.35918,10.75047
8.50985,254.81567,10.75150
8.50785,255.27197,10.75251
8.50585,255.72763,10.75346
8.50385,256.18335,10.75439
8.50185,256.63855,10.75527
8.49985,257.09357,10.75613
8.49785,257.54825,10.75693
8.49585,258.00214,10.75770
8.49385,258.45624,10.75844
8.49185,258.90976,10.75914
8.48985,259.36276,10.75980
8.48785,259.81589,10.76043
8.48585,260.26822,10.76102
8.48385,260.72037,10.76158
8.48185,261.17230,10.76209
8.47985,261.62378,10.76257
8.47785,262.07477,10.76301
8.47585,262.52560,10.76341
8.47385,262.97586,10.76377
8.47185,263.42587,10.76411
8.46985,263.87570,10.76440
8.46785,264.32507,10.76466
8.46585,264.77402,10.76488
8.46385,265.22250,10.76505
8.46185,265.67078,10.76520
8.45985,266.11871,10.76530
8.45785,266.56619,10.76537
8.45585,267.01328,10.76540
8.45385,267.45999,10.76539
8.45185,267.90637,10.76535
8.44985,268.35236,10.76528
8.44784,268.79825,10.76517
8.44584,269.24341,10.76501
8.44384,269.68823,10.76481
8.44184,270.13278,10.76459
8.43984,270.57684,10.76432
8.43784,271.02072,10.76402
8.43584,271.46396,10.76368
8.43384,271.90695,10.76330
8.43184,272.34958,10.76289
8.42984,272.79175,10.76244
8.42784,273.23352,10.76196
8.42584,273.67499,10.76142
8.42384,274.11584,10.76086
8.42184,274.55634,10.76025
8.41984,274.99680,10.75963
8.41784,275.43658,10.75895
8.41584,275.87579,10.75824
8.41384,276.31506,10.75749
8.41184,276.75342,10.75670
8.40984,277.19180,10.75588
8.40784,277.62946,10.75501
8.40584,278.06689,10.75412
8.40384,278.50406,10.75319
8.40184,278.94046,10.75222
8.39984,279.37653,10.75121
8.39784,279.81244,10.75016
8.39584,280.24771,10.74908
8.39384,280.68259,10.74796
8.39184,281.11719,10.74681
8.38984,281.55106,10.74561
8.38784,281.98495,10.74438
8.38584,282.41818,10.74311
8.38384,282.85089,10.74181
8.38184,283.28351,10.74047
8.37984,283.71518,10.73909
8.37784,284.14679,10.73768
8.37584,284.57788,10.73622
8.37384,285.00870,10.73473
8.37184,285.43872,10.73320
8.36984,285.86853,10.73164
8.36784,286.29779,10.73003
8.36584,286.72672,10.72840
8.36384,287.15546,10.72673
8.36184,287.58334,10.72501
8.35984,288.01093,10.72326
8.35784,288.43817,10.72147
8.35584,288.86481,10.71965
8.35384,289.29123,10.71779
8.35184,289.71698,10.71589
8.34983,290.14233,10.71395
8.34783,290.56723,10.71198
8.34583,290.99167,10.70997
8.34383,291.41577,10.70793
8.34183,291.83917,10.70584
8.33983,292.26233,10.70373
8.33783,292.68491,10.70156
8.33583,293.10703,10.69937
8.33383,293.52872,10.69714
8.33183,293.95023,10.69488
8.32983,294.37097,10.69257
8.32783,294.79126,10.69024
8.32583,295.21109,10.68785
8.32383,295.63043,10.68543
8.32183,296.04932,10.68299
8.31983,296.46793,10.68049
8.31783,296.88593,10.67798
8.31583,297.30353,10.67542
8.31383,297.72049,10.67282
8.31183,298.13687,10.67017
8.30983,298.55322,10.66751
8.30783,298.96857,10.66479
8.30583,299.38364,10.66205
8.30383,299.79834,10.65926
8.30183,300.21249,10.65644
8.29983,300.62622,10.65358
8.29783,301.03925,10.65068
8.29583,301.45187,10.64776
8.29383,301.86426,10.64479
8.29183,302.27594,10.64179
8.28983,302.68704,10.63875
8.28783,303.09796,10.63567
8.28583,303.50797,10.63255
8.28383,303.91766,10.62941
8.28183,304.32703,10.62622
8.27983,304.73575,10.62300
8.27783,305.14398,10.61974
8.27583,305.55157,10.61644
8.27383,305.95892,10.61311
8.27183,306.36545,10.60973
8.26983,306.77185,10.60632
8.26783,307.17749,10.60287
8.26583,307.58276,10.59940
8.26383,307.98737,10.59588
8.26183,308.39133,10.59232
8.25983,308.79523,10.58873
8.25783,309.19833,10.58510
8.25583,309.60095,10.58145
8.25383,310.00299,10.57775
8.25183,310.40460,10.57401
8.24982,310.80585,10.57024
8.24782,311.20621,10.56643
8.24582,311.60611,10.56258
8.24382,312.00562,10.55869
8.24182,312.40460,10.55478
8.23982,312.80292,10.55081
8.23782,313.20099,10.54682
8.23582,313.59833,10.54280
8.23382,313.99524,10.53874
8.23182,314.39151,10.53463
8.22982,314.78705,10.53049
8.22782,315.18243,10.52632
8.22582,315.57718,10.52211
8.22382,315.97141,10.51787
8.22182,316.36472,10.51358
8.21982,316.75797,10.50926
8.21782,317.15057,10.50491
8.21582,317.54269,10.50051
8.21382,317.93408,10.49609
8.21182,318.32477,10.49162
8.20982,318.71527,10.48713
8.20782,319.10495,10.48258
8.20582,319.49445,10.47801
8.20382,319.88312,10.47341
8.20182,320.27100,10.46875
8.19982,320.65881,10.46408
8.19782,321.04578,10.45936
8.19582,321.43225,10.45461
8.19382,321.81830,10.44982
8.19182,322.20349,10.44499
8.18982,322.58813,10.44013
8.18782,322.97247,10.43522
8.18582,323.35626,10.43030
8.18382,323.73926,10.42533
8.18182,324.12170,10.42032
8.17982,324.50378,10.41528
8.17782,324.88513,10.41020
8.17582,325.26599,10.40509
8.17382,325.64636,10.39995
8.17182,326.02597,10.39476
8.16982,326.40497,10.38953
8.16782,326.78348,10.38428
8.16582,327.16162,10.37899
