ta,ea,ma,ea2,ta2
3.37890,-2.45466,-1.94732,-2.45466,-2.90428
3.38519,-2.43775,-1.92002,-2.43775,-2.89800
3.39147,-2.42092,-1.89301,-2.42092,-2.89171
3.39776,-2.40419,-1.86630,-2.40419,-2.88542
3.40405,-2.38756,-1.83989,-2.38756,-2.87914
3.41033,-2.37102,-1.81379,-2.37102,-2.87285
3.41662,-2.35458,-1.78798,-2.35458,-2.86657
3.42291,-2.33823,-1.76248,-2.33823,-2.86028
3.42919,-2.32199,-1.73728,-2.32199,-2.85399
3.43548,-2.30584,-1.71239,-2.30584,-2.84771
3.44176,-2.28979,-1.68782,-2.28979,-2.84142
3.44805,-2.27384,-1.66354,-2.27384,-2.83513
3.45434,-2.25800,-1.63958,-2.25800,-2.82885
3.46062,-2.24225,-1.61592,-2.24225,-2.82256
3.46691,-2.22661,-1.59257,-2.22661,-2.81627
3.47320,-2.21108,-1.56953,-2.21108,-2.80999
3.47948,-2.19564,-1.54680,-2.19564,-2.80370
3.48577,-2.18032,-1.52438,-2.18032,-2.79742
3.49206,-2.16509,-1.50226,-2.16509,-2.79113
3.49834,-2.14998,-1.48045,-2.14998,-2.78484
3.50463,-2.13496,-1.45894,-2.13496,-2.77856
3.51091,-2.12006,-1.43773,-2.12006,-2.77227
3.51720,-2.10526,-1.41682,-2.10526,-2.76598
3.52349,-2.09056,-1.39622,-2.09056,-2.75970
3.52977,-2.07598,-1.37591,-2.07598,-2.75341
3.53606,-2.06150,-1.35589,-2.06150,-2.74713
3.54235,-2.04712,-1.33618,-2.04712,-2.74084
3.54863,-2.03286,-1.31675,-2.03286,-2.73455
3.55492,-2.01870,-1.29761,-2.01870,-2.72827
3.56121,-2.00464,-1.27876,-2.00464,-2.72198
3.56749,-1.99070,-1.26019,-1.99070,-2.71569
3.57378,-1.97685,-1.24191,-1.97685,-2.70941
3.58006,-1.96312,-1.22390,-1.96312,-2.70312
3.58635,-1.94949,-1.20617,-1.94949,-2.69683
3.59264,-1.93597,-1.18872,-1.93597,-2.69055
3.59892,-1.92255,-1.17153,-1.92255,-2.68426
3.60521,-1.90924,-1.15462,-1.90924,-2.67798
3.61150,-1.89603,-1.13797,-1.89603,-2.67169
3.61778,-1.88292,-1.12158,-1.88292,-2.66540
3.62407,-1.86993,-1.10545,-1.86993,-2.65912
3.63036,-1.85703,-1.08958,-1.85703,-2.65283
3.63664,-1.84424,-1.07396,-1.84424,-2.64654
3.64293,-1.83155,-1.05859,-1.83155,-2.64026
3.64921,-1.81896,-1.04347,-1.81896,-2.63397
3.65550,-1.80648,-1.02859,-1.80648,-2.62769
3.66179,-1.79409,-1.01395,-1.79409,-2.62140
3.66807,-1.78181,-0.99956,-1.78181,-2.61511
3.67436,-1.76963,-0.98539,-1.76963,-2.60883
3.68065,-1.75754,-0.97145,-1.75754,-2.60254
3.68693,-1.74556,-0.95775,-1.74556,-2.59625
3.69322,-1.73367,-0.94426,-1.73367,-2.58997
3.69950,-1.72189,-0.93100,-1.72189,-2.58368
3.70579,-1.71020,-0.91796,-1.71020,-2.57739
3.71208,-1.69860,-0.90513,-1.69860,-2.57111
3.71836,-1.68711,-0.89251,-1.68711,-2.56482
3.72465,-1.67570,-0.88010,-1.67570,-2.55854
3.73094,-1.66440,-0.86790,-1.66440,-2.55225
3.73722,-1.65318,-0.85590,-1.65318,-2.54596
3.74351,-1.64206,-0.84409,-1.64206,-2.53968
3.74980,-1.63103,-0.83248,-1.63103,-2.53339
3.75608,-1.62010,-0.82107,-1.62010,-2.52710
3.76237,-1.60925,-0.80984,-1.60925,-2.52082
3.76865,-1.59850,-0.79881,-1.59850,-2.51453
3.77494,-1.58783,-0.78795,-1.58783,-2.50825
3.78123,-1.57726,-0.77727,-1.57726,-2.50196
3.78751,-1.56677,-0.76678,-1.56677,-2.49567
3.79380,-1.55637,-0.75645,-1.55637,-2.48939
3.80009,-1.54606,-0.74630,-1.54606,-2.48310
3.80637,-1.53583,-0.73632,-1.53583,-2.47681
3.81266,-1.52569,-0.72650,-1.52569,-2.47053
3.81894,-1.51563,-0.71685,-1.51563,-2.46424
3.82523,-1.50566,-0.70736,-1.50566,-2.45795
3.83152,-1.49577,-0.69802,-1.49577,-2.45167
3.83780,-1.48596,-0.68884,-1.48596,-2.44538
3.84409,-1.47623,-0.67981,-1.47623,-2.43910
3.85038,-1.46659,-0.67093,-1.46659,-2.43281
3.85666,-1.45702,-0.66219,-1.45702,-2.42652
3.86295,-1.44754,-0.65361,-1.44754,-2.42024
3.86924,-1.43813,-0.64516,-1.43813,-2.41395
3.87552,-1.42880,-0.63685,-1.42880,-2.40766
3.88181,-1.41955,-0.62868,-1.41955,-2.40138
3.88809,-1.41037,-0.62064,-1.41037,-2.39509
3.89438,-1.40127,-0.61274,-1.40127,-2.38881
3.90067,-1.39224,-0.60496,-1.39224,-2.38252
3.90695,-1.38329,-0.59732,-1.38329,-2.37623
3.91324,-1.37441,-0.58979,-1.37441,-2.36995
3.91953,-1.36561,-0.58239,-1.36561,-2.36366
3.92581,-1.35688,-0.57511,-1.35688,-2.35737
3.93210,-1.34821,-0.56795,-1.34821,-2.35109
3.93838,-1.33962,-0.56090,-1.33962,-2.34480
3.94467,-1.33110,-0.55397,-1.33110,-2.33851
3.95096,-1.32265,-0.54715,-1.32265,-2.33223
3.95724,-1.31426,-0.54044,-1.31426,-2.32594
3.96353,-1.30595,-0.53384,-1.30595,-2.31966
3.96982,-1.29770,-0.52734,-1.29770,-2.31337
3.97610,-1.28951,-0.52095,-1.28951,-2.30708
3.98239,-1.28139,-0.51466,-1.28139,-2.30080
3.98868,-1.27334,-0.50847,-1.27334,-2.29451
3.99496,-1.26535,-0.50238,-1.26535,-2.28822
